Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Overhead;Jitting;1;425572.73;1;425572.73
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Jitting;1;252022929.14;1;252022929.14
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Pilot;1;1031293.64;2;515646.82
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Pilot;2;1460513.09;3;486837.7
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Pilot;3;1693174.1;4;423293.53
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Pilot;4;2132969.05;5;426593.81
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Pilot;5;2503111.57;6;417185.26
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Pilot;6;2928319.62;7;418331.37
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Pilot;7;3685744.26;8;460718.03
Serializers.ToJson;;Serializers;ToJson;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Core;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;5;8;3;Default;Default;Default;Default;"Job-ZLGOUL(Runtime=Core, MaxIterationCount=5, MaxWarmupIterationCount=8, MinIterationCount=3)";BookCount=1;1;Workload;Pilot;8;3964354;9;440483.78
