BookCount;Mean;Error;StdDev
1;416.1 us;12.94 us;3.360 us
1;375.6 us;43.21 us;11.224 us
1;391.1 us;82.22 us;21.356 us
1;385.8 us;61.31 us;15.925 us
BookCount;Mean;Error;StdDev
10;415.4 us;38.41 us;9.976 us
10;401.4 us;78.34 us;20.348 us
10;398.0 us;71.87 us;18.668 us
10;394.4 us;83.55 us;21.702 us
BookCount;Mean;Error;StdDev
1000;2,492.2 us;716.95 us;186.224 us
1000;555.3 us;90.84 us;23.596 us
1000;1,446.8 us;374.64 us;97.311 us
1000;1,264.8 us;55.97 us;14.538 us
BookCount;Mean;Error;StdDev
10000;19,112.7 us;5,468.11 us;1,420.322 us
10000;2,043.3 us;537.94 us;139.727 us
10000;9,906.5 us;1,993.67 us;517.847 us
10000;7,217.9 us;461.00 us;119.742 us
BookCount;Mean;Error;StdDev
100000;180,636.8 us;21,877.57 us;5,682.617 us
100000;17,483.2 us;1,275.54 us;331.317 us
100000;104,183.6 us;29,461.76 us;7,652.583 us
100000;77,098.1 us;33,598.03 us;8,726.963 us
